month,B.1,B.1.1.306,B.1.1.7,B.1.113,B.1.210,B.1.247,B.1.36,B.1.36.8,B.1.617,B.1.617.2,BA.1.1.7,BA.2,Other
2020-01-01,0.10714285714285714,0.0,0.07142857142857142,0.07142857142857142,0.0,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.35714285714285715
2020-02-01,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.06451612903225806,0.12903225806451613,0.06451612903225806,0.22580645161290322,0.0,0.03225806451612903,0.2903225806451613
2020-03-01,0.14705882352941177,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.0,0.20588235294117646,0.029411764705882353,0.058823529411764705,0.29411764705882354
2020-04-01,0.20689655172413793,0.0,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.13793103448275862,0.0,0.1724137931034483,0.0,0.034482758620689655,0.27586206896551724
2020-05-01,0.09090909090909091,0.06060606060606061,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.12121212121212122,0.0,0.2727272727272727,0.0,0.0,0.36363636363636365
2020-06-01,0.125,0.03125,0.09375,0.0,0.0,0.0625,0.09375,0.0625,0.125,0.09375,0.0,0.09375,0.21875
2020-07-01,0.10869565217391304,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.08695652173913043,0.0,0.2391304347826087,0.0,0.06521739130434782,0.2826086956521739
2020-08-01,0.16,0.02,0.06,0.04,0.08,0.02,0.06,0.08,0.02,0.18,0.02,0.02,0.24
2020-09-01,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.0,0.13513513513513514,0.05405405405405406,0.16216216216216217,0.02702702702702703,0.05405405405405406,0.2702702702702703
2020-10-01,0.13513513513513514,0.05405405405405406,0.0,0.0,0.05405405405405406,0.0,0.05405405405405406,0.13513513513513514,0.0,0.13513513513513514,0.0,0.08108108108108109,0.35135135135135137
